"Easting","Northing","Longitude","Latitude","Elevation"
494364.6,6402476.5,116.94,-32.515,370.234680175781
494364.5,6402589.6,116.94,-32.5139795918367,373.807403564453
494364.5,6402702.8,116.94,-32.5129591836735,378.798950195312
494364.4,6402815.9,116.94,-32.5119387755102,379.736541748047
494364.3,6402929,116.94,-32.5109183673469,377.794342041016
494364.3,6403042.1,116.94,-32.5098979591837,373.597900390625
494364.2,6403155.2,116.94,-32.5088775510204,368.658447265625
494364.1,6403268.3,116.94,-32.5078571428571,368.68505859375
494364.1,6403381.4,116.94,-32.5068367346939,365.169067382812
494364,6403494.6,116.94,-32.5058163265306,360.635528564453
494363.9,6403607.7,116.94,-32.5047959183673,354.660461425781
494363.9,6403720.8,116.94,-32.5037755102041,354.289947509766
494363.8,6403833.9,116.94,-32.5027551020408,353.236846923828
494363.8,6403947,116.94,-32.5017346938776,352.182861328125
494363.7,6404060.1,116.94,-32.5007142857143,359.975616455078
494363.6,6404173.2,116.94,-32.499693877551,361.101348876953
494363.6,6404286.3,116.94,-32.4986734693878,367.458770751953
494363.5,6404399.5,116.94,-32.4976530612245,378.884033203125
494363.4,6404512.6,116.94,-32.4966326530612,384.390441894531
494363.4,6404625.7,116.94,-32.495612244898,387.685974121094
494363.3,6404738.8,116.94,-32.4945918367347,390.350372314453
494363.2,6404851.9,116.94,-32.4935714285714,387.193542480469
494363.2,6404965,116.94,-32.4925510204082,385.080505371094
494363.1,6405078.1,116.94,-32.4915306122449,383.439788818359
494363.1,6405191.3,116.94,-32.4905102040816,381.746673583984
494363,6405304.4,116.94,-32.4894897959184,377.761627197266
494362.9,6405417.5,116.94,-32.4884693877551,374.078063964844
494362.9,6405530.6,116.94,-32.4874489795918,370.614135742188
494362.8,6405643.7,116.94,-32.4864285714286,368.627227783203
494362.7,6405756.8,116.94,-32.4854081632653,365.132629394531
494362.7,6405869.9,116.94,-32.484387755102,360.855804443359
494362.6,6405983,116.94,-32.4833673469388,359.218658447266
494362.5,6406096.2,116.94,-32.4823469387755,361.612243652344
494362.5,6406209.3,116.94,-32.4813265306123,365.560424804688
494362.4,6406322.4,116.94,-32.480306122449,370.382507324219
494362.4,6406435.5,116.94,-32.4792857142857,377.621704101562
494362.3,6406548.6,116.94,-32.4782653061225,384.758453369141
494362.2,6406661.7,116.94,-32.4772448979592,386.434967041016
494362.2,6406774.8,116.94,-32.4762244897959,386.663330078125
494362.1,6406888,116.94,-32.4752040816327,389.233825683594
494362,6407001.1,116.94,-32.4741836734694,392.990783691406
494362,6407114.2,116.94,-32.4731632653061,391.493743896484
