Profile,Year,Landform,subLandform,LF3,LF5,Easting,Northing,Latitude,Longitude,Horizon,Horiz.simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Depth.cat,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Sand.corr,Silt.corr,Clay.corr,Gravel.clr,Sand.clr,Silt.clr,Clay.clr,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC,CEC,Al_ex,Ca_ex,K_ex,Mg_ex,Na_ex,Al.clr,Ca.clr,K.clr,Mg.clr,Na.clr
5,2015,Residual,NA,Resid,RE,498600,6406830,116.985101,-32.4757403,A1,A,0-20,0,20,10,15,0.1,80,7.75,12.25,80,7.75,12.25,-3.960750174,2.723861554,0.389527763,0.847360856,1.083890785,12.99647141,0.440980345,29.47177023,5.05,4.35,445,3.74,0.15,0.94,0.29,2.15,1.71,-1.518138278,0.317106303,-0.85889265,1.144449549,0.915475077
5,2015,Residual,NA,Resid,RE,498600,6406830,116.985101,-32.4757403,B1,B,20-50,20,50,35,35,0.1,65,19.25,15.75,65,19.25,15.75,-4.199123494,2.277848869,1.06097266,0.860301965,1.160870307,1.7716645,0.064663626,27.39816189,4.72,4.51,950,1.94,0.09,0.02,0.19,1.71,1.36,-0.980601259,-2.484678655,-0.233386857,1.963837721,1.73482905
5,2015,Residual,NA,Resid,RE,498600,6406830,116.985101,-32.4757403,B2,B2,50-80,50,80,65,70,0.1,57.5,33.25,9.25,57.5,33.25,9.25,-4.172054636,2.182315404,1.634585224,0.355154008,1.56,0.443721116,0.0165534,26.80543655,5.01,4.42,507,2.35,0.17,0.03,0.17,2.43,2.36,-0.711173101,-2.445774156,-0.711173101,1.948674998,1.91944536
6,2015,Upper_slope,Mid_slope,Eros,US,499879,6406404,116.998712,-32.4795842,Ap,A,2-3,2,3,2.5,5,3.55,75,12.5,12.5,72.3,12.1,12.1,-1.366598056,1.64727847,-0.140340207,-0.140340207,1.013,5.426131725,0.283227533,19.15820706,5.3,4.5,78.4,4.58,0.05,2.89,0.15,0.96,0.58,-2.112303288,1.944685487,-1.013691,0.842606991,0.33870181
6,2015,Upper_slope,Mid_slope,Eros,US,499879,6406404,116.998712,-32.4795842,E,A2,3-15,3,15,9,5,6.73,72.5,15,12.5,67.6,14,11.7,-0.898132181,1.408900659,-0.165649995,-0.345118483,1.161,4.312125206,0.169338629,25.46451002,5.73,4.4,43.5,3.73,0.03,1.8,0.32,0.61,0.22,-2.293231983,1.801112579,0.073891631,0.719029592,-0.300801819
6,2015,Upper_slope,Mid_slope,Eros,US,499879,6406404,116.998712,-32.4795842,B,B,15-30,15,30,22.5,25,34.53,75,17.5,7.5,49.1,11.5,4.9,0.675011065,1.027041588,-0.424470411,-1.277582242,1.675,0.756427407,0.032729313,23.11161901,6.49,4.96,27.1,3.17,0.02,1.26,0.02,1.32,0.34,-2.233200562,1.909934164,-2.233200562,1.95645418,0.600012782
7,2015,Residual,NA,Resid,RE,499705.064,6406558.051,116.996861,-32.478194,O,NA,0-5,0,5,2.5,5,2.4,87.5,10,2.5,85.4,9.8,2.4,-1.244697753,2.32717961,0.162215895,-1.244697753,1.369,6.435494423,0.139949873,45.98428195,5.85,4.19,20.71,2.39,0.1,0.95,0.18,0.53,0.43,-1.193080061,1.058211737,-0.605293396,0.474626759,0.265534961
7,2015,Residual,NA,Resid,RE,499705.064,6406558.051,116.996861,-32.478194,A,A,5-12,5,12,8.5,5,4.03,92.5,7.5,0.1,88.8,7.2,0.1,0.005854136,3.09847441,0.586168786,-3.690497333,1.47,3.411870003,0.079449013,42.94414593,5.87,4.37,24.4,2.06,0.07,0.79,0.18,0.55,0.36,-1.413406228,1.010131476,-0.468944619,0.648016809,0.224202562
7,2015,Residual,NA,Resid,RE,499705.064,6406558.051,116.996861,-32.478194,B,B,12-24,12,24,18,15,18.42,97.5,0.1,2.5,79.6,0.1,2,1.493183728,2.95676079,-3.722838396,-0.727106122,NA,1.110713005,0.028043617,39.60662501,5.99,4.39,32.2,1.36,0.05,0.24,0.09,0.5,0.24,-1.205520719,0.363095199,-0.617734054,1.097064374,0.363095199
8,2015,Residual,NA,Resid,RE,499313.553,6406613.457,116.992695,-32.4776941,A,A,0-15,0,15,7.5,5,24.6,90,5,5,67.9,3.8,3.8,0.68005029,1.695339882,-1.187695086,-1.187695086,1.296,3.955463886,0.12669228,31.22103321,5.5,4.23,17.7,1.47,0.17,0.28,0.13,0.32,0.16,-0.160525023,0.338466143,-0.42878901,0.471997535,-0.221149645
8,2015,Residual,NA,Resid,RE,499313.553,6406613.457,116.992695,-32.4776941,B1,B,15-40,15,40,27.5,25,45.85,85,10,5,46,5.4,2.7,1.241958368,1.245224566,-0.897017877,-1.590165057,NA,0.751956105,0.032770954,22.9458106,5.9,4.22,10.95,0.98,0.24,0.06,0.04,0.14,0.07,0.989838802,-0.396455559,-0.801920667,0.450842302,-0.242304879
8,2015,Residual,NA,Resid,RE,499313.553,6406613.457,116.992695,-32.4776941,B2,B2,40-80,40,80,60,70,1.08,92.5,2.5,5,91.5,2.5,4.9,-1.697745446,2.741632485,-0.858415756,-0.185471282,NA,0.174860716,0.006657177,26.2664978,5.4,4.24,9.27,0.92,0.07,0.005,0.02,0.14,0.04,0.751657781,-1.887399549,-0.501105187,1.444804962,0.192041993
9,2015,Residual,NA,Resid,RE,499579.785,6406484.146,116.995528,-32.4788615,A,A,0-20,0,20,10,15,37.54,72.5,10,17.5,45.3,6.2,10.9,0.712400495,0.900300496,-1.088457244,-0.524243747,0.989,18.11121941,0.490362495,36.93434874,5.85,4.4,31.1,6.53,0.24,2.41,0.45,2.07,0.77,-1.251153663,1.05558944,-0.622545004,0.9035113,-0.085402072
