Profile,Year,Landform,subLandform,LF3,LF5,Easting,Northing,Latitude,Longitude,Horizon,Horiz.simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Depth.cat,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Sand.corr,Silt.corr,Clay.corr,Gravel.clr,Sand.clr,Silt.clr,Clay.clr,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC,CEC,Al_ex,Ca_ex,K_ex,Mg_ex,Na_ex,Al.clr,Ca.clr,K.clr,Mg.clr,Na.clr
17,2015,Sub_valley_floor,NA,Depos,VF,499131,6404068,116.990749,-32.5006572,A,A,10-26,10,26,18,15,0.218,79.41666675,9.25,11.33333325,79.3,9.2,11.3,-3.396756247,2.499742098,0.345707453,0.551306695,1.368,0.42,0.02,21,6.48,5.7,NA,2.66,0.02,0.8,0.02,1.01,0.52,-2.173789866,1.515089588,-2.173789866,1.748183471,1.084306672
17,2015,Sub_valley_floor,NA,Depos,VF,499131,6404068,116.990749,-32.5006572,E,A2,26-30,26,30,28,25,0.27,62.91666675,13,24.08333325,62.7,13,24,-3.452341149,1.995353619,0.421941529,1.035046001,NA,0.24,0.03,8,6.2,5.8,NA,3.28,0.02,0.59,0.02,1.4,0.39,-2.120659994,1.263730269,-2.120659994,2.127835248,0.849754471
17,2015,Sub_valley_floor,NA,Depos,VF,499131,6404068,116.990749,-32.5006572,B,B,30-50,30,50,40,50,0.15,42.91666675,9.75,47.33333325,42.8,9.7,47.3,-3.89413356,1.759524528,0.275112311,1.859496721,1.502,0.3,0.04,7.5,5.93,5.6,NA,9.5,0.01,2.31,0.06,5.81,1.41,-3.709537565,1.732880145,-1.917778096,2.655213191,1.239222325
18,2015,Sub_valley_floor,NA,Depos,VF,498771,6403716,116.986917,-32.5038323,Ap,A,0-14,0,14,7,5,6.373517787,61.91666675,17.25,20.83333325,58,16.2,19.5,-1.06485351,1.143437941,-0.131993827,0.053409396,1.261,1.32,0.11,12,6.81,5.02,NA,3.94,0.14,2.4,0.03,0.35,0.23,-0.542772834,2.29880876,-2.083217875,0.373517898,-0.046335948
18,2015,Sub_valley_floor,NA,Depos,VF,498771,6403716,116.986917,-32.5038323,A,A,14-22,14,22,18,15,12.60162602,61.41666675,18.25,20.33333325,53.7,16,17.8,-0.508430654,0.941156493,-0.269667787,-0.163058052,NA,0.23,0.03,7.666666667,6.15,4.39,NA,2.05,0.32,0.79,0.03,0.21,0.07,0.680890177,1.584602126,-1.686233437,0.259676712,-0.838935577
18,2015,Sub_valley_floor,NA,Depos,VF,498771,6403716,116.986917,-32.5038323,E,A2,22-30,22,30,26,25,24.14829659,72.4,3.3,24.58333325,55,2.5,18.6,0.426464008,1.24958335,-1.841459103,0.165411746,NA,0.08,0.02,4,6.05,4.33,NA,0.91,0.06,0.27,0.01,0.21,0.05,-0.156551868,1.347525529,-1.948311337,1.096211101,-0.338873425
18,2015,Sub_valley_floor,NA,Depos,VF,498771,6403716,116.986917,-32.5038323,B,B,30-67,30,67,48.5,50,38.57785043,15.9,35.5,48.6,9.8,21.8,29.9,0.548971008,-0.821324895,-0.021797311,0.294151199,1.552,0.19,0.03,6.333333333,5.85,4.29,NA,9.9,0.14,2.25,0.06,5.28,1.84,-1.627132519,1.149910554,-2.474430379,2.002906435,0.948745909
18,2015,Sub_valley_floor,NA,Depos,VF,498771,6403716,116.986917,-32.5038323,C,C,67-74,67,74,70.5,70,67.64705882,57.41666675,11.25,31.33333325,18.6,3.6,10.1,1.531570195,0.240427899,-1.401799836,-0.370198258,NA,0.16,0.03,5.333333333,6.1,4.1,NA,14.35,0.18,2.4,0.05,8.12,3.55,-1.620041587,0.970225579,-2.900975432,2.189086995,1.361704445
19,2015,Lower_slope,NA,Depos,LS,499159,6403611,116.991047,-32.5047798,Ap,A,0-8,0,8,4,5,2.997404893,91.04095563,2.509536238,6.449508131,88.3,2.4,6.3,-0.975879461,2.407113768,-1.198157602,-0.233076706,1.232643806,2.05,0.16,12.8125,6,5.75,NA,7.49,0.04,5.71,0.5,0.71,0.25,-2.439158095,2.521936754,0.08657055,0.437227421,-0.606576631
19,2015,Lower_slope,NA,Depos,LS,499159,6403611,116.991047,-32.5047798,A,A,8-25,8,25,16.5,15,5.09690064,84.92728742,8.331650172,6.741062412,80.6,7.9,6.4,-0.856690372,1.90417564,-0.41846025,-0.629025019,1.181907905,0.65,0.04,16.25,6.3,5.2,NA,5.67,0.02,3.89,0.5,0.64,0.03,-2.4721018,2.798330363,0.746774025,0.993634103,-2.066636692
19,2015,Lower_slope,NA,Depos,LS,499159,6403611,116.991047,-32.5047798,B1,B,25-55,25,55,40,50,4.677866524,53.22418136,8.564231738,38.2115869,50.7,8.2,36.4,-1.249025609,1.134058167,-0.687733589,0.802701031,1.594812528,0.28,0.03,9.333333333,7.3,5.2,NA,3.87,0.02,2.83,0.07,0.44,0.03,-1.940314049,3.011985668,-0.687551081,1.150728404,-1.534848941
19,2015,Lower_slope,NA,Depos,LS,499159,6403611,116.991047,-32.5047798,B2,B2,55-72,55,72,63.5,70,4.28417517,84.42112168,1.291407019,14.2874713,80.8,1.2,13.7,-0.706727558,2.230321366,-1.979334042,0.455740234,1.438183854,0.24,0.03,8,7.1,5.53,NA,7.16,0.01,4.64,0.07,1.86,0.14,-3.190119741,2.949764811,-1.244209592,2.035626933,-0.551062411
19,2015,Lower_slope,NA,Depos,LS,499159,6403611,116.991047,-32.5047798,B3,B3,72-80,72,80,76,70,0.114468864,66.22741588,1.926902039,31.84568208,66.2,1.9,31.8,-3.699089477,2.661043409,-0.889783168,1.927829236,1.58797055,2.78,0.21,13.23809524,6.03,5.88,NA,14.11,0.01,8.59,0.06,5.11,0.36,-3.673483384,3.082285538,-1.881723915,2.562886206,-0.089964446
20,2015,Lower_slope,NA,Depos,LS,498296,6404061,116.98186,-32.5007194,Ap,A,0-10,0,10,5,5,35.73050719,87.44695898,7.829864619,4.723176399,56.2,5,3,0.997761911,1.450673801,-0.968805044,-1.479630668,1.532111937,2.78,0.21,13.23809524,5.8,5,63,8.25,0.01,5.84,0.42,0.65,0.08,-3.272279883,3.0976211,0.465389736,0.902107387,-1.192838341
20,2015,Lower_slope,NA,Depos,LS,498296,6404061,116.98186,-32.5007194,A,A,10-27,10,27,18.5,15,52.28963938,91.40130639,4.082465809,4.516227802,43.6,1.9,2.2,1.66625659,1.484515488,-1.648687776,-1.502084302,1.735160803,3.97,0.11,36.09090909,6.5,5.09,509,7.72,0.01,6.29,0.45,0.7,0.09,-3.339302713,3.104828544,0.467359777,0.909192529,-1.142078136
20,2015,Lower_slope,NA,Depos,LS,498296,6404061,116.98186,-32.5007194,E,A2,27-60,27,60,43.5,50,44.91071429,94.81757877,2.342454395,2.839966833,52.2,1.3,1.6,1.681644697,1.8320508,-1.860667431,-1.653028066,1.740739647,0.83,0.04,20.75,6.65,5.44,115,7.1,0.01,5.37,0.25,0.78,0.16,-3.326834294,2.959163801,-0.107958469,1.029874533,-0.554245571
21,2015,Residual,NA,Resid,RE,499746,6406602,116.997297,-32.477798,A,A,2-14,2,14,8,5,11.68575948,89.253,7.248,3.499,78.8,6.4,3.1,0.005124947,1.913666982,-0.596948025,-1.321843904,1.389206476,1.94,0.05,38.8,5.58,4.68,46,4.07,0.06,2.54,0.24,1.24,0.22,-1.891934848,1.85363995,-0.505640487,1.136587248,-0.592651864
21,2015,Residual,NA,Resid,RE,499746,6406602,116.997297,-32.477798,B,B,14-42,14,42,28,25,4.866312813,75,25,0.1,71.3,23.8,0.1,-0.096746808,2.587812992,1.490602245,-3.981668429,1.506935838,1.2,0.05,24,5,4.7,25.7,2.13,0.09,1.07,0.1,0.95,0.2,-1.147224957,1.3283793,-1.041864441,1.209427358,-0.34871726
21,2015,Residual,NA,Resid,RE,499746,6406602,116.997297,-32.477798,C,C,42-80,42,80,61,70,77.68030768,98,0.1,2,21.9,0.025,0.4,3.644122226,2.378007078,-4.397359013,-1.624770291,1.913212073,6.69,0.2,33.45,5.42,4.38,46.6,1.3,0.06,0.66,0.12,0.89,0.24,-1.434842743,0.96305253,-0.741695562,1.262034158,-0.048548382
22,2015,Residual,Upper_slope,Resid,RE,499399,6406493,116.993604,-32.478781,A,A,0-6,0,6,3,5,18.16130052,65.704,17.272,17.025,53.7,14.1,13.9,-0.140899421,0.943220595,-0.394017609,-0.408303566,0.8216,7.42,0.24,30.91666667,3.78,3.83,4600,2.96,1.16,0.5,0.11,5.41,16.69,-0.201791343,-1.043358529,-2.557486262,1.338037744,2.464598389
22,2015,Residual,Upper_slope,Resid,RE,499399,6406493,116.993604,-32.478781,B1,B,12-21,12,21,16.5,15,6.606068953,47.88,14.963,37.157,44.7,14,34.7,-1.080451056,0.831533681,-0.329382491,0.578299866,0.989,2.57,0.05,51.4,4.04,4,3440,2.89,2.15,0.07,0.04,3.08,14.86,1.023280919,-2.40144696,-2.961062748,1.382742674,2.956486116
22,2015,Residual,Upper_slope,Resid,RE,499399,6406493,116.993604,-32.478781,B2,B2,28-40,28,40,34,35,4.061313328,40.595,12.428,46.976,38.9,11.9,45.1,-1.435473923,0.824013926,-0.360441924,0.971901922,1.3197,0.63,0.02,31.5,4.01,3.8,2090,2.86,1.92,0.005,0.02,1.67,7.45,1.859720691,-4.090921861,-2.7046275,1.720219132,3.215609538
23,2015,Residual,Upper_slope,Resid,RE,499753,6406606,116.997371,-32.4777619,A,A,0.2-20,0.2,20,10.1,15,8.191060904,39.42,15.89,44.69,36.2,14.6,41,-0.918630609,0.567385084,-0.340652506,0.691898032,1.305496702,3.41,0.1,34.1,4.21,3.91,1188,3.53,0.48,0.19,0.06,0.95,7.42,-0.082924108,-1.00968614,-2.16236565,0.599751773,2.655224124
23,2015,Residual,Upper_slope,Resid,RE,499753,6406606,116.997371,-32.4777619,B1,B,20-40,20,40,30,35,60.52341898,45.83,34.036,20.134,18.1,13.4,7.9,1.187765434,-0.019353008,-0.320010239,-0.848402187,1.673915651,0.53,0.02,26.5,5.16,4.2,1427,3.61,1.29,0.05,0.03,0.8,4.61,1.243154948,-2.007219544,-2.518045168,0.765369178,2.516740586
23,2015,Residual,Upper_slope,Resid,RE,499753,6406606,116.997371,-32.4777619,B2,B2,40-80,40,80,60,70,27.84895939,64.43,17.043,18.525,46.5,12.3,13.4,0.25902013,0.771676842,-0.558176208,-0.472520764,1.77913252,0.61,0.02,30.5,3.92,3.65,1294,2.74,0.98,0.06,0.08,0.74,5.71,0.76344292,-2.029765089,-1.742083017,0.482540535,2.525864651
24,2015,Residual,Upper_slope,Resid,RE,499710,6406793,116.996914,-32.476075,A,A,0-15,0,15,7.5,5,14.5906592,71.25,13,15.75,60.8,11.1,13.5,-0.269019988,1.158188258,-0.542456423,-0.346711846,1.0909,5.18,0.17,30.47058824,4.95,4.5,1090,3.91,0.06,0.48,0.13,3.4,9.97,-2.400561776,-0.321120234,-1.627371888,1.636624373,2.712429525
24,2015,Residual,Upper_slope,Resid,RE,499710,6406793,116.996914,-32.476075,B1,B,15-21,15,21,18,15,37.83409933,51,22,27,31.7,13.7,16.8,0.501135246,0.324241132,-0.514679716,-0.310696662,1.1289,2.8,0.11,25.45454545,5.15,4.82,1900,3.97,0.07,0.11,0.11,3.37,6.53,-1.862762002,-1.410776878,-1.410776878,2.011410779,2.672904978
24,2015,Residual,Upper_slope,Resid,RE,499710,6406793,116.996914,-32.476075,B2,B2,21-45,21,45,33,35,27.78469973,67.75,16.75,15.5,48.9,12.1,11.2,0.293639968,0.858931865,-0.537640079,-0.614931753,1.4954,2.01,0.09,22.33333333,4.77,4.4,2596,4.08,0.09,0.005,0.07,3.65,6.46,-0.966912303,-3.857284061,-1.218226732,2.735760473,3.306662623
24,2015,Residual,Upper_slope,Resid,RE,499710,6406793,116.996914,-32.476075,C,C,45-80,45,80,62.5,70,57.67560423,76,16,8,32.1,6.8,3.4,1.388737192,0.802758942,-0.749174476,-1.442321657,1.649,0.76,0.03,25.33333333,5.11,4.55,1705,5.36,0.13,0.005,0.12,3.93,7.55,-0.82649788,-4.084594418,-0.906540588,2.582362374,3.235270512
25,2015,Sub_valley_floor,Valley_floor,Depos,VF,499936,6406181,116.999319,-32.4815959,A,A,0-14,0,14,7,5,11.42,70.5,18.25,11.25,62.5,16.2,10,-0.47916607,1.220634283,-0.129521032,-0.611947181,1.220025361,1.65,0.09,18.33333333,5.77,5.73,546,5.33,0.06,3.5,0.05,1.25,0.58,-1.837817988,2.228355698,-2.020139544,1.198736281,0.430865554
25,2015,Sub_valley_floor,Valley_floor,Depos,VF,499936,6406181,116.999319,-32.4815959,B1,B,14-24,14,24,19,15,23.37,93.24,8.5,1.74,71.4,6.5,1.3,0.762973784,1.879818505,-0.516677188,-2.1261151,1.17356837,0.21,0.02,10.5,6.04,5.69,461,2.28,0.1,1.15,0.01,0.88,0.33,-0.701687226,1.740659809,-3.004272319,1.473064495,0.492235242
25,2015,Sub_valley_floor,Valley_floor,Depos,VF,499936,6406181,116.999319,-32.4815959,B2,B2,24-75,24,75,49.5,50,27.74,64.283,23.392,12.325,46.5,16.9,8.9,0.278952258,0.795529156,-0.216609535,-0.85787188,1.174668291,0.24,0.02,12,6.15,5.6,512,2.75,0.11,1.02,0.03,1.36,0.43,-0.961171802,1.265905738,-2.260454787,1.55358781,0.40213304
26,2015,Sub_valley_floor,Valley_floor,Depos,VF,499949,6406143,116.999457,-32.4819387,A,A,0-16,0,16,8,5,14.88,92.24,13.76,6,78.5,11.7,5.1,-0.08796848,1.575112116,-0.328397667,-1.158745969,1.192032629,1.03,0.06,17.16666667,5.44,5.06,755,3.46,0.12,2.34,0.08,0.95,0.18,-1.007876941,1.962537524,-1.41334205,1.0610933,-0.602411833
26,2015,Sub_valley_floor,Valley_floor,Depos,VF,499949,6406143,116.999457,-32.4819387,B1,B,16-46,16,46,31,35,24.5,87.45,7.38,5.17,66,5.6,3.9,0.580655365,1.571636989,-0.895251155,-1.257041199,1.139679608,0.26,0.02,13,5.87,5.11,527,1.39,0.03,0.8,0.06,0.67,0.14,-1.72461738,1.558796966,-1.031470199,1.381462951,-0.184172339
26,2015,Sub_valley_floor,Valley_floor,Depos,VF,499949,6406143,116.999457,-32.4819387,B2,B2,46-75,46,75,60.5,70,31.81,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1.258135232,0.23,0.04,5.75,6.57,5.19,413,13.94,0.02,3.82,0.12,8.74,1.94,-3.539735414,1.712538014,-1.747975945,2.540197781,1.034975564
27,2015,Mid-slope,NA,Eros,MS,498987,6406804,116.989219,-32.4759753,A,A,0-11,0,11,5.5,5,0.1,59.75,18.5,11.75,59.7,18.5,11.7,-4.093611718,2.298305395,1.126744107,0.668562216,1.401,2.76,0.19,14.52631579,6.94,5.08,595,8.38,0.04,5.82,0.74,1.27,0.29,-2.667368203,2.312807884,0.25040253,0.790524523,-0.686366734
27,2015,Mid-slope,NA,Eros,MS,498987,6406804,116.989219,-32.4759753,B1,B,11-31,11,31,21,25,0.02,109.76,2.5,12.26,109.8,2.5,12.3,-4.965154885,3.64552865,-0.136841148,1.456467383,1.599,0.73,0.06,12.16666667,6,5.02,84.9,6.78,0.03,4.39,0.27,0.97,0.09,-2.351564536,2.634322588,-0.154339959,1.124534154,-1.252952247
27,2015,Mid-slope,NA,Eros,MS,498987,6406804,116.989219,-32.4759753,B2,B2,31-58,31,58,44.5,50,0.05,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1.676,0.32,0.04,8,6.41,5.5,92.1,8.43,0.01,5.5,0.24,2.42,0.21,-3.604286454,2.705631824,-0.426232624,1.884651272,-0.559764017
27,2015,Mid-slope,NA,Eros,MS,498987,6406804,116.989219,-32.4759753,B3,B3,58-100,58,100,79,70,0.09,83.25,1,15.75,83.2,1,15.7,-3.599686222,3.229506735,-1.191740613,1.561920099,1.384,0.35,0.03,11.66666667,6.69,5.79,170.9,10.07,0.03,6.05,0.27,3.04,0.3,-2.88496825,2.421647919,-0.687743673,1.733447162,-0.582383157
28,2015,Lower_slope,NA,Depos,LS,496044,6404560,116.957889,-32.4962121,A,A,0-18,0,18,9,5,13.4,89.08,5.14,5.79,77.1,4.5,5,0.081786383,1.831634956,-1.009390927,-0.904030412,1.6239,1.48,0.08,18.5,4.92,4.36,2280,1.5,0.18,1.3,0.01,0.29,0.4,-0.072444541,1.904718152,-2.962816298,0.404479531,0.726063156
28,2015,Lower_slope,NA,Depos,LS,496044,6404560,116.957889,-32.4962121,B,B,18-47,18,47,32.5,35,6.62,91.69,2.46,5.85,85.6,2.3,5.5,-0.329264097,2.230325816,-1.386450344,-0.514611375,1.8687,0.24,0.01,24,5.2,4.99,2265,0.26,0.1,0.16,0.005,0.19,0.17,0.270649301,0.740652931,-2.725082972,0.912503188,0.801277552
28,2015,Lower_slope,NA,Depos,LS,496044,6404560,116.957889,-32.4962121,C1,C,47-85,47,85,66,70,72.69,90.14,5.15,4.71,24.6,1.4,1.3,2.264257132,1.180799751,-1.685474455,-1.759582427,1.9452,0.07,0.02,3.5,4.93,4.53,2334,0.15,0.12,0.05,0.01,0.18,0.19,0.49907559,-0.376393147,-1.98583106,0.904540698,0.958607919
28,2015,Lower_slope,NA,Depos,LS,496044,6404560,116.957889,-32.4962121,C2,NA,85-100,85,100,92.5,90,10.04,64.01,8.47,27.51,57.6,7.6,24.7,-0.592185679,1.154759774,-0.870614546,0.30804045,2.1534,0.09,0.01,9,5.07,4.61,2137,1.75,0.11,0.08,0.01,1.59,0.5,-0.293757532,-0.612211263,-2.691652804,2.377251398,1.220370201
29,2015,Residual,NA,Resid,RE,497240,6404609,116.970621,-32.4957737,A,A,0-15,0,15,7.5,5,53.21,86.6,7.07,6.33,40.5,3.3,3,1.482225579,1.209281204,-1.298098301,-1.393408481,1.5615,2.45,0.14,17.5,5.34,4.96,2283,3.71,0.06,2.59,0.1,0.38,0.08,-1.281880596,2.483187997,-0.771054972,0.563946095,-0.994198523
29,2015,Residual,NA,Resid,RE,497240,6404609,116.970621,-32.4957737,B,B,15-100,15,100,57.5,50,80.89,87.13,8.88,3.99,16.6,1.7,0.8,2.515595806,0.931908295,-1.346866149,-2.100637952,1.3958,0.31,0.02,15.5,6.15,4.99,2262,2.06,0.05,1.29,0.05,0.21,0.04,-0.892463093,2.357911399,-0.892463093,0.542621432,-1.115606644
30,2015,Lower_slope,Sub_valley_floor,Depos,LS,496745,6404980,116.965353,-32.4924255,A,A,0-12,0,12,6,5,4.924,89.91380746,4.251205118,5.834987417,85.5,4,5.5,-0.689298801,2.165096367,-0.897125648,-0.578671917,1.503298246,2.45,0.16,15.3125,5.5,4.8,183,4.55,0.01,2.74,0.22,3.04,0.86,-3.775109111,1.838018995,-0.684066658,1.94191859,0.679238185
30,2015,Lower_slope,Sub_valley_floor,Depos,LS,496745,6404980,116.965353,-32.4924255,B1,B,12-50,12,50,31,35,5.923,87.56979131,8.818729135,3.61147955,82.4,8.3,3.4,-0.603771788,2.028970572,-0.26635935,-1.158839434,1.596105263,0.11,0.02,5.5,6.2,4.5,24,0.25,0.005,0.15,0.06,0.7,0.44,-3.061016654,0.340180728,-0.576110004,1.880625769,1.416320161
30,2015,Lower_slope,Sub_valley_floor,Depos,LS,496745,6404980,116.965353,-32.4924255,B2,B2,50-65,50,65,57.5,50,7.539,73.19630285,21.22653035,5.577166799,67.7,19.6,5.2,-0.694751433,1.5002452,0.260688586,-1.066182354,1.616701754,0.06,0.01,6,6.5,4.7,48.9,0.81,0.005,0.17,0.02,1.16,0.45,-2.971840386,0.554520139,-1.585546024,2.474896986,1.527969285
30,2015,Lower_slope,Sub_valley_floor,Depos,LS,496745,6404980,116.965353,-32.4924255,B3,B3,65-100,65,100,82.5,90,12.184,61.21618505,22.11431349,16.66950146,53.7,19.4,14.6,-0.532334187,0.950955199,-0.067184737,-0.351436274,NA,0.03,0.01,3,6.8,5,894,3.19,0.005,0.34,0.05,3.08,1.1,-3.667793462,0.551714244,-1.365208369,2.755453502,1.725834085
31,2015,Nonresid_upland,NA,Eros,US,497397,6405407,116.972294,-32.4885752,A,A,0-15,0,15,7.5,5,10.824,76.47650841,6.90899753,16.61449406,68.2,6.2,14.8,-0.399080841,1.441597833,-0.95629744,-0.086219551,1.513824561,2.16,0.16,13.5,5.2,4.85,260.6,3.96,0.04,2.98,0.41,0.75,0.36,-2.353299032,1.957500093,-0.026021327,0.57789472,-0.156074455
31,2015,Nonresid_upland,NA,Eros,US,497397,6405407,116.972294,-32.4885752,B1,B,15-52,15,52,33.5,35,10.35,75.88432904,7.33588592,16.77978504,68,6.6,15,-0.450916999,1.431604186,-0.90083387,-0.079853318,1.616912281,0.9,0.02,45,4.68,4.36,168.2,1.38,0.08,1.08,0.04,0.44,0.09,-0.746414727,1.856274959,-1.439561907,0.958333366,-0.628631691
31,2015,Nonresid_upland,NA,Eros,US,497397,6405407,116.972294,-32.4885752,B2,B2,52-95,52,95,73.5,70,1.412,35.81736302,14.56689835,49.61573863,35.3,14.4,48.9,-2.271466787,0.947409037,0.05075428,1.27330347,1.710350877,0.55,0.02,27.5,4.63,4.18,401,4.94,0.55,0.95,0.03,2.74,0.33,0.253441579,0.799985285,-2.655279318,1.8592365,-0.257384045
32,2015,Upper_slope,NA,Eros,US,497226,6405223,116.970473,-32.4902347,Ap,A,0-32,0,32,16,15,9.12,67.86,10.406,21.73,61.7,9.5,19.7,-0.680696238,1.231117889,-0.639874244,0.089452593,1.119,6.61,0.58,11.39655172,5.95,5.47,1280,3.05,0.01,1.61,0.39,0.3,0.04,-2.706491551,2.374912814,0.957070095,0.694705831,-1.32019719
32,2015,Upper_slope,NA,Eros,US,497227,6405224,116.970484,-32.4902257,E,A2,32-50,32,50,41,50,27.89,88.452,2.442,9.106,63.8,1.8,6.6,0.838548775,1.666033764,-1.901932762,-0.602649777,1.739,0.37,0.02,18.5,6.9,5.69,112,4.64,0.03,2.61,0.41,0.9,0.12,-2.373671928,2.092236191,0.24128785,1.027525454,-0.987377567
32,2015,Upper_slope,NA,Eros,US,497228,6405225,116.970495,-32.4902166,B,B,52-120,52,120,86,90,42.27,33.6,5.1,61.29,19.4,2.9,35.4,0.908884305,0.130079757,-1.770482572,0.731518511,1.688,0.14,0.05,2.8,6.9,5.96,300,5.96,0.05,3.59,0.08,1.31,0.28,-1.946482823,2.327401653,-1.476479194,1.319276588,-0.223716225
33,2015,Residual,NA,Resid,RE,497216,6404807,116.970366,-32.4939874,A,A,0-57,0,57,28.5,25,15.89,60.004,16.276,23.72,50.5,13.7,20,-0.309507875,0.84677548,-0.457802023,-0.079465582,1.495,3.54,0.32,11.0625,5.42,4.91,606,8.83,0.24,2.84,0.36,6.52,7.32,-1.919220586,0.551699822,-1.513755478,1.382770145,1.498506097
33,2015,Residual,NA,Resid,RE,497217,6404808,116.970376,-32.4939784,B,B,57-80,57,80,68.5,70,27.55,70.508,7.872,21.62,51.1,5.7,15.7,0.380024056,0.997806017,-1.195512305,-0.182317768,1.976,0.16,0.02,8,5.6,5.08,66,3.27,0.49,0.2,0.26,1.82,4.52,-0.400847297,-1.296935322,-1.034571057,0.911339092,1.821014585
34,2015,Residual,NA,Resid,RE,497344,6404633,116.971728,-32.4955574,A,A,2-15,2,15,8.5,5,30.92,88.25,7.45,4.3,61,5.1,3,0.863870745,1.543341385,-0.938291939,-1.46892019,1.21,0.83,0.05,16.6,5.7,4.44,30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2015,Residual,NA,Resid,RE,497345,6404634,116.971738,-32.4955484,B1,B,15-25,15,25,20,25,17.79529994,86.78,5.56,7.66,71.3,4.6,6.3,0.250825215,1.638787168,-1.102052856,-0.787559526,1.413,0.22,0.03,7.333333333,6.1,4.9,21.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2015,Residual,NA,Resid,RE,497346,6404635,116.971749,-32.4955394,B2,B2,25-45,25,45,35,35,2.379456573,68.17,8.57,23.26,66.5,8.4,22.7,-1.711795546,1.61853427,-0.450435971,0.543697247,NA,0.23,0.03,7.666666667,6.35,5.1,20.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2015,Residual,NA,Resid,RE,497347,6404636,116.97176,-32.4955304,C,C,45-100,45,100,72.5,70,3.348806366,79.64,8.36,11.99,77,8.1,11.6,-1.315215665,1.819985783,-0.431955577,-0.072814541,NA,0.15,0.05,3,6.85,5.46,18.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,2015,Upper_slope,NA,Eros,US,497366,6404510,116.971962,-32.4966671,A,A,0-15,0,15,7.5,5,18.92030097,88.76,5.58,5.66,72,4.5,4.6,0.378476648,1.714907296,-1.057681426,-1.035702519,1.383,2.87,0.16,17.9375,5.9,5,62.9,3.16,0.03,3.06,0.11,0.42,0.03,-1.712662625,2.912310188,-0.413379641,0.926394704,-1.712662625
35,2015,Upper_slope,NA,Eros,US,497367,6404511,116.971972,-32.496658,B1,B,15-35,15,35,25,25,32.08771819,90.89,5.37,3.74,61.7,3.6,2.5,1.021477882,1.675288467,-1.166061618,-1.530704732,1.543,0.33,0.04,8.25,6.3,5.11,13.58,1.54,0.03,1.65,0.02,0.32,0.02,-1.112705317,2.894627869,-1.518170425,1.254418298,-1.518170425
35,2015,Upper_slope,NA,Eros,US,497368,6404512,116.971983,-32.496649,B2,B2,35-75,35,75,55,50,18.09435133,88.88,8.02,3.09,72.8,6.6,2.5,0.398930772,1.791046919,-0.609599387,-1.580378304,1.48,0.08,0.02,4,6.08,4.99,10.36,0.67,0.02,0.69,0.005,0.17,0.02,-0.858946225,2.682013099,-2.245240586,1.281119938,-0.858946225
35,2015,Upper_slope,NA,Eros,US,497369,6404513,116.971994,-32.49664,C,C,75-95,75,95,85,90,37.28122912,90.78,8.15,1.07,56.9,5.1,0.7,1.385402235,1.808207617,-0.603847184,-2.589762668,NA,0.07,0.01,7,6.38,5.15,15.3,1.24,0.02,0.6,0.04,0.8,0.03,-1.637737825,1.763459557,-0.944590644,2.051141629,-1.232272717
36,2015,Residual,NA,Resid,RE,497376,6404935,116.972069,-32.4928331,A,A,0-18,0,18,9,5,16.91760905,88.36,6.4,5.25,73.4,5.3,4.4,0.259957452,1.727526353,-0.900690762,-1.086793042,1.309,1.96,0.1,19.6,5.64,4.66,24.5,0.43,0.09,0.43,0.11,0.12,0.04,-0.248279618,1.31569592,-0.047608923,0.039402454,-1.059209834
36,2015,Residual,NA,Resid,RE,497377,6404936,116.97208,-32.4928241,B,B,18-45,18,45,31.5,35,28.77648667,87.92,5.5,6.58,62.6,3.9,4.7,0.758342879,1.535549538,-1.240239187,-1.053653231,NA,0.27,0.04,6.75,6,4.58,12.34,0.93,0.16,0.35,0.21,0.33,0.09,-0.24064955,0.542109789,0.031284166,0.483269289,-0.816013695
37,2015,Mid-slope,Lower_slope,Eros,MS,498834,6405514,116.987589,-32.4876124,A,A,0-13,0,13,6.5,5,32.12,NA,NA,11.5118,NA,NA,7.8,0.707677578,NA,NA,-0.707677578,1.327567568,3.537651539,0.274661988,12.88001869,6.45,5.45,1367,1.5,0.18,1.3,0.01,0.29,0.4,-0.072444541,1.904718152,-2.962816298,0.404479531,0.726063156
37,2015,Mid-slope,Lower_slope,Eros,MS,498834,6405514,116.987589,-32.4876124,B1,B,13-38,13,38,25.5,25,43.9,76.0834,6.545593,17.370998,42.7,3.7,9.7,1.002771334,0.975055934,-1.470810167,-0.507017101,1.416486486,0.713152945,0.051957343,13.72573937,6.68,5.2,1267,0.26,0.1,0.16,0.005,0.19,0.17,0.270649301,0.740652931,-2.725082972,0.912503188,0.801277552
