"Profile","Landform","subLandform","Easting","Northing","Latitude","Longitude","Horizon","Horiz.simp","Depth.range","Depth.upper","Depth.lower","Depth.mean","Gravel.pct","Sand.pct","Silt.pct","Clay.pct","Bulk.density","C.pct","N.pct","C.N.ratio","pH.H2O","pH.CaCl2","EC","CEC","Al_ex","Ca_ex","K_ex","Mg_ex","Na_ex","LF5","Depth.cat"
8,"Residual",NA,499313.553,6406613.457,116.992695,-32.4776941,"A","A","0-15",0,15,7.5,24.6,90,5,5,"1.296",3.955463886,0.12669228,31.22103321,5.5,4.23,17.7,1.47,0.17,0.28,0.13,0.32,0.16,"RE",5
8,"Residual",NA,499313.553,6406613.457,116.992695,-32.4776941,"B1","B","15-40",15,40,27.5,45.85,85,10,5,NA,0.751956105,0.032770954,22.9458106,5.9,4.22,10.95,0.98,0.24,0.06,0.04,0.14,0.07,"RE",25
8,"Residual",NA,499313.553,6406613.457,116.992695,-32.4776941,"B2","B2","40-80",40,80,60,1.08,92.5,2.5,5,NA,0.174860716,0.006657177,26.2664978,5.4,4.24,9.27,0.92,0.07,0.005,0.02,0.14,0.04,"RE",70
9,"Residual",NA,499579.785,6406484.146,116.995528,-32.4788615,"A","A","0-20",0,20,10,37.54,72.5,10,17.5,"0.989",18.11121941,0.490362495,36.93434874,5.85,4.4,31.1,6.53,0.24,2.41,0.45,2.07,0.77,"RE",15
9,"Residual",NA,499579.785,6406484.146,116.995528,-32.4788615,"B","B","20-40",20,40,30,56.35,70,5,25,NA,4.793487072,0.152123228,31.51055328,5.82,4.73,154.6,5.47,0.08,0.6,0.18,3.24,1.57,"RE",35
10,"Lower_slope",NA,500015,6405982,117.00016,-32.4833911,"Ap","A","0-10",0,10,5,17,83.13,7.25,9.63,"1.405",2.415568352,0.118163295,20.44262857,5.13,4.71,157.7,4.84,0.02,3.88,0.2,0.64,0.29,"LS",5
10,"Lower_slope",NA,500015,6405982,117.00016,-32.4833911,"B","B","Oct-20",10,20,15,42,80.07,9.45,10.48,"1.651",0.588655055,0.040257603,14.62220827,5.83,4.92,63.7,3.64,0.01,2.41,0.09,0.43,0.15,"LS",15
10,"Lower_slope",NA,500015,6405982,117.00016,-32.4833911,"B2","B2","20-60",20,60,40,18,77.82,14.17,8.01,NA,0.455825359,0.036420684,12.51556272,6.12,4.95,59.1,4.36,0.04,2.75,0.04,0.98,0.18,"LS",50
11,"Valley_floor",NA,499989,6406157,116.999883,-32.4818124,"Ap","A","0-15",0,15,7.5,13,86.62,5.13,8.25,"1.596",1.436036706,0.092564762,15.51385949,5.27,4.09,30.9,4.18,0.04,2.44,0.21,0.74,0.37,"VF",5
11,"Valley_floor",NA,499989,6406157,116.999883,-32.4818124,"E","A2","15-30",15,30,22.5,16,87.14,8.53,4.33,"1.701",0.149901256,0.010919637,13.72767752,5.37,4.45,92.3,1.26,0.02,0.4,0.03,0.2,0.08,"VF",25
11,"Valley_floor",NA,499989,6406157,116.999883,-32.4818124,"B1","B","30-60",30,60,45,26,92.55,4.03,3.42,"1.711",0.071658701,0.005992797,11.95747225,4.89,4.72,227.2,0.98,0.01,0.36,0.02,0.22,0.09,"VF",50
11,"Valley_floor",NA,499989,6406157,116.999883,-32.4818124,"B2","B2","60-100",60,100,80,11,90.54,3.3,6.3,"1.794",NA,NA,NA,5.4,5.02,159.3,1.14,0.01,0.43,0.02,0.37,0.16,"VF",90
12,"Mid-slope",NA,499969,6407026,116.99967,-32.4739731,"Ap","A","0-25",0,25,12.5,31,81.5,8.63,9.82,"1.305",3.962929249,0.26072675,15.19954991,5.43,4.79,87.1,5.02,0.03,3.54,0.39,0.69,0.17,"MS",15
12,"Mid-slope",NA,499969,6407026,116.99967,-32.4739731,"E","A2","25-30",25,30,27.5,37,84.79,12.83,2.38,NA,2.072476387,0.085857734,24.13849386,5.42,4.37,38,3,0.05,1.9,0.19,0.36,0.07,"MS",25
12,"Mid-slope",NA,499969,6407026,116.99967,-32.4739731,"B1","B","30-100",30,100,65,36,80.43,9.94,9.63,NA,1.230622172,0.043526907,28.27267708,6.07,5.25,23.43,3.77,0.02,2.43,0.04,0.62,0.07,"MS",70
13,"Upper_slope",NA,499814,6406782,116.998021,-32.4761742,"Ap","A","0-10",0,10,5,5,68.86,17.46,13.68,"1.078",4.585476398,0.263147116,17.42552407,6.45,5.68,121.8,6.25,0.04,4.15,0.47,1.1,0.33,"US",5
13,"Upper_slope",NA,499814,6406782,116.998021,-32.4761742,"B1","B","Oct-30",10,30,20,13,73,17,10,"1.066",1.610995293,0.106433965,15.13610142,6,6.44,85.4,8.37,0.01,5.14,0.07,2.27,0.63,"US",25
13,"Upper_slope",NA,499814,6406782,116.998021,-32.4761742,"B2","B2","30-60",30,60,45,10,66.2,13.3,20.5,"1.398",0.686915934,0.034061641,20.16684822,6.1,5.65,97.5,7.15,0.01,3.35,0.02,2.73,0.86,"US",50
13,"Upper_slope",NA,499814,6406782,116.998021,-32.4761742,"B3","B3","60-100",60,100,80,10,76.97,9,14.03,"1.559",0.372828901,0.020038154,18.60595049,6.84,5.72,86.4,5.21,0.01,2.23,0.01,2,0.58,"US",90
14,"Mid-slope","Upper_slope",498263,6404666,116.98151,-32.4952615,"Ap","A","0-10",0,10,5,22.35084712,84.97,6.44,8.59,"1.27575",2.37,0.21,11.28571429,5.55,4.33,NA,5.13,0.02,3.92,0.59,0.6,0.1,"MS",5
14,"Mid-slope","Upper_slope",498263,6404666,116.98151,-32.4952615,"B","B","Oct-35",10,35,22.5,53.34778561,85.59,8.74,5.66,"1.428163",0.44,0.05,8.8,6.56,4.62,NA,2.76,0.6,1.96,0.27,0.43,0.13,"MS",25
14,"Mid-slope","Upper_slope",498263,6404666,116.98151,-32.4952615,"C","C","35-70",35,70,52.5,44.7112097,86.14,11.7,2.15,"1.515402",0.1,0.02,5,7.01,5.07,NA,1.71,0.02,0.99,0.1,0.52,0.56,"MS",50
15,"Mid-slope",NA,498715,6404659,116.986322,-32.4953253,"Ap","A","0-15",0,15,7.5,35,78.58,12,9.66,"1.142752",0.33,0.04,8.25,6.17,5.97,NA,2.04,0.005,0.79,0.04,1.16,0.27,"MS",5
15,"Mid-slope",NA,498715,6404659,116.986322,-32.4953253,"E","A2","15-55",15,55,35,32,79.83,10,10.16,"1.185147",1.31,0.09,14.55555556,6.4,5.57,NA,3.54,0.15,1.49,0.01,1.94,0.13,"MS",35
15,"Mid-slope",NA,498715,6404659,116.986322,-32.4953253,"B","B","55-60",55,60,57.5,8,73.33,3,23.66,"1.144179",0.36,0.04,9,6.51,5.74,NA,3.76,0.03,3.63,0.05,0.67,0.13,"MS",50
16,"Mid-slope",NA,498400,6404356,116.982968,-32.4980583,"Ap","A","0-20",0,20,10,31.02533493,79.88561458,6.785575805,13.32880962,"1.26",2.4,0.2,12,6.2,5.8,NA,13.55,0.01,4.28,0.24,8.04,1.45,"MS",15
16,"Mid-slope",NA,498400,6404356,116.982968,-32.4980583,"E","A2","20-35",20,35,27.5,55.82104728,78.84595779,18.08937779,3.064664419,"2.28",0.34,0.04,8.5,6.35,5.8,NA,2.29,0.005,1.01,0.06,1.46,0.35,"MS",25
