Profile,Landform,subLandform,LF5,LF3,Easting,Northing,Latitude,Longitude,Horizon,Horiz.simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC,CEC,Al_ex,Ca_ex,K_ex,Mg_ex,Na_ex
26,Sub_valley_floor,Valley_floor,VF,Depositional,499949,6406143,116.99946,-32.48194,A,A,0-16,0,16,8,14.9,92.2,13.8,6,1.192,1.03,0.06,17.17,5.44,5.06,755,3.46,0.12,2.34,0.08,0.95,0.18
27,Mid-slope,NA,MS,Erosional,498987,6406804,116.98922,-32.47598,A,A,0-11,0,11,5.5,0.1,59.8,18.5,11.8,1.401,2.76,0.19,14.53,6.94,5.08,595,8.38,0.04,5.82,0.74,1.27,0.29
28,Lower_slope,NA,LS,Depositonal,496044,6404560,116.95789,-32.49621,A,A,0-18,0,18,9,13.4,89.1,5.1,5.8,1.624,1.48,0.08,18.5,4.92,4.36,2280,1.5,0.18,1.3,0.01,0.29,0.4
29,Residual,NA,RE,Residual,497240,6404609,116.97062,-32.49577,A,A,0-15,0,15,7.5,53.2,86.6,7.1,6.3,1.562,2.45,0.14,17.5,5.34,4.96,2283,3.71,0.06,2.59,0.1,0.38,0.08
30,Lower_slope,Sub_valley_floor,LS,Depositonal,496745,6404980,116.96535,-32.49243,A,A,0-12,0,12,6,4.9,89.9,4.3,5.8,1.503,2.45,0.16,15.31,5.5,4.8,183,4.55,0.01,2.74,0.22,3.04,0.86
31,Nonresid_upland,NA,US,Erosional,497397,6405407,116.97229,-32.48858,A,A,0-15,0,15,7.5,10.8,76.5,6.9,16.6,1.514,2.16,0.16,13.5,5.2,4.85,260.6,3.96,0.04,2.98,0.41,0.75,0.36
32,Upper_slope,NA,US,Erosional,497226,6405223,116.97047,-32.49023,Ap,A,0-32,0,32,16,9.1,67.9,10.4,21.7,1.119,6.61,0.58,11.4,5.95,5.47,1280,3.05,0.01,1.61,0.39,0.3,0.04
33,Residual,NA,RE,Residual,497216,6404807,116.97037,-32.49399,A,A,0-57,0,57,28.5,15.9,60,16.3,23.7,1.495,3.54,0.32,11.06,5.42,4.91,606,8.83,0.24,2.84,0.36,6.52,7.32
34,Residual,NA,RE,Residual,497344,6404633,116.97173,-32.49556,A,A,Feb-15,2,15,8.5,30.9,88.3,7.5,4.3,1.21,0.83,0.05,16.6,5.7,4.44,30.8,NA,NA,NA,NA,NA,NA
35,Upper_slope,NA,US,Erosional,497366,6404510,116.97196,-32.49667,A,A,0-15,0,15,7.5,18.9,88.8,5.6,5.7,1.383,2.87,0.16,17.94,5.9,5,62.9,3.16,0.03,3.06,0.11,0.42,0.03
36,Residual,NA,RE,Residual,497376,6404935,116.97207,-32.49283,A,A,0-18,0,18,9,16.9,88.4,6.4,5.3,1.309,1.96,0.1,19.6,5.64,4.66,24.5,0.43,0.09,0.43,0.11,0.12,0.04
37,Mid-slope,Lower_slope,MS,Erosional,498834,6405514,116.98759,-32.48761,A,A,0-13,0,13,6.5,32.1,NA,NA,11.5,1.328,3.54,0.27,12.88,6.45,5.45,1367,1.5,0.18,1.3,0.01,0.29,0.4
38,Lower_slope,Mid-slope,LS,Depositonal,498720,6405407,116.98638,-32.48858,A,A,0-20,0,20,10,6.5,96.7,1.3,2,1.072,1.69,0.12,14.12,6.3,5,297,3.69,0.005,3.42,0.14,0.67,0.06
39,Nonresid_upland,NA,US,Erosional,498095,6405134,116.97972,-32.49104,A,A,0-12,0,12,6,17,67.1,25.1,7.8,1.292,3.11,0.29,10.72,6.06,5.06,99.5,11.02,0.02,6.26,1.97,1.56,0.14
