"Easting","Northing","Longitude","Latitude"
498502.142222506,6405219.14380033,116.984056740434,-32.4902719168324
498557.147953396,6405228.68483717,116.984642238291,-32.4901859188708
498650.850754253,6405173.2707353,116.985639534357,-32.490685933472
498679.20688556,6405169.91419969,116.985941354847,-32.4907162472337
498773.7600975,6405133.60856218,116.986947740746,-32.4910438728527
498824.507616877,6405149.6799445,116.987487924091,-32.4908989459778
498869.819330178,6405110.29096507,116.987970179875,-32.4912543253841
498938.834966018,6405047.13355952,116.988704721912,-32.4918241434252
498990.291834275,6405056.57228409,116.989252450448,-32.4917390436127
499043.135294621,6405033.45939988,116.989814904035,-32.4919475942752
499165.670501727,6404954.35622942,116.99111912786,-32.4926612914722
499299.428365317,6404946.21838043,116.992542883612,-32.492734796316
499421.055814515,6404934.67412849,116.993837519336,-32.4928390083289
499560.926441591,6404913.5282954,116.995326340441,-32.4930298312944
499624.361890609,6404949.3783385,116.996001584867,-32.4927064474038
499731.989641415,6404972.09251613,116.997147216382,-32.4925015715009
499789.329634154,6404955.25695675,116.997757556903,-32.4926534592839
499840.045085391,6404988.39964395,116.998297394101,-32.4923544839252
499870.540222391,6404988.15914121,116.998621993035,-32.4923566574998
499907.926070451,6405028.16167281,116.999019942626,-32.4919957939797
499931.687269941,6405028.06559714,116.999272862625,-32.4919966624045
499962.214936837,6405014.53190685,116.99959780602,-32.4921187527771
500023.535634821,6405037.78147794,117.0002505188,-32.4919090162207
500074.404273574,6405031.03704549,117.000791977017,-32.4919698562491
500164.453263089,6405114.57091789,117.001750465567,-32.4912162782243
500216.04147307,6405134.73754801,117.0022995737,-32.4910343439647
500270.966955423,6405124.45671394,117.002884210677,-32.4911270764781
500371.431824748,6405175.09042638,117.003953553006,-32.4906702750335
500461.451763655,6405188.55185379,117.004911726551,-32.4905488042351
500513.687017727,6405229.36513154,117.005467700171,-32.4901806001249
500607.032229144,6405215.66575288,117.006461278256,-32.4903041366803
500659.211394256,6405219.03014174,117.007016673269,-32.4902737564094
500718.173624903,6405229.24274054,117.007644261889,-32.490181590847
500773.004735623,6405215.57940052,117.008227897111,-32.4903048125786
500874.569567086,6405232.5785809,117.009308941934,-32.4901513857338
500930.197479363,6405218.85784611,117.009901060474,-32.4902751168436
501037.690531391,6405218.66092517,117.011045221169,-32.4902767980767
501068.354016531,6405194.56786448,117.011371631915,-32.4904941152241
501095.838975029,6405194.61990291,117.011664183593,-32.4904936190058
501153.777473848,6405109.16327097,117.012280989581,-32.4912644741792
501213.149163767,6405115.68190863,117.012912942808,-32.4912056055677
501342.350573702,6405163.42198313,117.014288114012,-32.4907747884053
501479.73301252,6405163.60976038,117.015750426116,-32.4907729199342
501614.406480512,6405084.59455065,117.017184039418,-32.4914855373778
501658.975764587,6404985.07685973,117.017658618428,-32.4923832317621
501710.70783633,6404950.76202946,117.018209331915,-32.4926927111269
501746.090166181,6404964.20973237,117.018585928009,-32.492571342874
501781.976530209,6404994.75346682,117.018967855818,-32.4922957475115
501855.486106159,6404980.749062,117.019750339836,-32.4924219624179
501858.194945479,6404946.54546889,117.019779241033,-32.4927305122362
501897.145782591,6404922.16070047,117.020193895736,-32.4929504240389
501954.123034465,6404945.81935824,117.020800332762,-32.4927368979364
502012.455790876,6404918.41823127,117.021421304482,-32.4929839823237
502067.75813442,6404873.65542279,117.022010060841,-32.4933876908849
502091.136040968,6404805.04560725,117.022259057213,-32.4940065836317
502186.996929792,6404757.25865493,117.023279557551,-32.4944374902041
502273.54653596,6404729.72004926,117.024200904,-32.4946857450909
502318.906666768,6404760.57030091,117.024683666624,-32.4944073479207
502385.513982756,6404787.85056468,117.025392600859,-32.4941611086976
502393.268633953,6404742.79166198,117.025475259793,-32.4945675731628
502450.151896443,6404721.6243808,117.026080811383,-32.4947584014158
502473.263186436,6404680.65959909,117.026326928726,-32.4951278978018
