"Easting","Northing","Longitude","Latitude"
499580.953019934,6403066.02333074,116.995538687896,-32.5096963606038
499493.497680807,6403136.53048664,116.994607647536,-32.5090602730599
499453.857225263,6403257.59391802,116.994185695461,-32.5079681305471
499216.53260539,6403367.76298868,116.991659199543,-32.5069741435163
499224.063029642,6403452.94618261,116.991739438764,-32.5062057035914
499118.579641074,6403479.64979379,116.990616496308,-32.5059647291699
499074.087063108,6403647.47662011,116.990142998423,-32.5044507118113
499057.36560694,6403796.9639263,116.989965136406,-32.5031021587789
498973.77873093,6403902.27665167,116.989075422834,-32.5021520485584
498929.59556396,6403986.28883845,116.988605169151,-32.5013941248161
498912.936601849,6404339.21462968,116.988428236351,-32.4982103300847
498842.026985357,6404569.35357125,116.987673688366,-32.4961341513404
498568.486914519,6404697.36443099,116.984762122574,-32.494979033028
498412.015934617,6404890.82443579,116.983096878751,-32.4932335969091
498266.69994724,6404928.99776545,116.981550149105,-32.4928890138978
498250.019108583,6404971.93848048,116.981372672269,-32.4925016148698
498292.987217585,6405103.49585292,116.981830276391,-32.4913148881815
498268.05439297,6405190.17384027,116.981565046793,-32.4905329177905
498383.372414158,6405385.23947339,116.98279283497,-32.48877338239
NA,NA,NA,NA
496651.791716837,6405718.65382407,116.964363312429,-32.4857617436593
497279.451530558,6405564.84191522,116.971043370587,-32.4871510131422
497419.098560181,6405511.7206108,116.97252958221,-32.4876305597839
497896.968196755,6405400.92201519,116.977615649699,-32.4886310940729
497999.402362151,6405222.9973342,116.978705565225,-32.4902363620181
498021.392173817,6405090.88955606,116.978939347929,-32.4914281604099
498107.636903723,6404998.1894517,116.979857165714,-32.4922645685393
498158.989281071,6404930.99741922,116.980403643136,-32.4928708014994
498268.695943099,6404928.74868079,116.981571394722,-32.4928912640305
