OorE,Profile,Easting,Northing,Latitude,Longitude,Horizon,Horiz_simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC.-S.cm,CEC,ex-Al,ex-Ca,ex-K,ex-Mg,ex-Na,munesll.wet,munsell.dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,23,499753.0,6406606.0,116.997371,-32.4777619,B2,NA,40-80,40.0,80.0,60.0,27.8,64.4,17.0,18.5,1.8,0.6,0.0,30.5,3.9,3.7,1294.0,2.7,1.0,0.1,0.1,0.7,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,24,499710.0,6406793.0,116.996914,-32.476075,A,A,0-15,0.0,15.0,7.5,14.6,71.3,13.0,15.8,1.1,5.2,0.2,30.5,5.0,4.5,1090.0,3.9,0.1,0.5,0.1,3.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,24,499710.0,6406793.0,116.996914,-32.476075,B1,NA,15-21,15.0,21.0,18.0,37.8,51.0,22.0,27.0,1.1,2.8,0.1,25.5,5.2,4.8,1900.0,4.0,0.1,0.1,0.1,3.4,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,24,499710.0,6406793.0,116.996914,-32.476075,B2,NA,21-45,21.0,45.0,33.0,27.8,67.8,16.8,15.5,1.5,2.0,0.1,22.3,4.8,4.4,2596.0,4.1,0.1,0.0,0.1,3.6,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,24,499710.0,6406793.0,116.996914,-32.476075,C,NA,45-80,45.0,80.0,62.5,57.7,76.0,16.0,8.0,1.6,0.8,0.0,25.3,5.1,4.6,1705.0,5.4,0.1,0.0,0.1,3.9,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,25,499936.0,6406181.0,116.999319,-32.4815959,A,A,0-14,0.0,14.0,7.0,11.4,70.5,18.3,11.3,1.2,1.7,0.1,18.3,5.8,5.7,546.0,5.3,0.1,3.5,0.1,1.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,25,499936.0,6406181.0,116.999319,-32.4815959,B1,NA,14-24,14.0,24.0,19.0,23.4,93.2,8.5,1.7,1.2,0.2,0.0,10.5,6.0,5.7,461.0,2.3,0.1,1.2,0.0,0.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,25,499936.0,6406181.0,116.999319,-32.4815959,B2,NA,24-75,24.0,75.0,49.5,27.7,64.3,23.4,12.3,1.2,0.2,0.0,12.0,6.2,5.6,512.0,2.7,0.1,1.0,0.0,1.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,26,499949.0,6406143.0,116.999457,-32.4819387,A,A,0-16,0.0,16.0,8.0,14.9,92.2,13.8,6.0,1.2,1.0,0.1,17.2,5.4,5.1,755.0,3.5,0.1,2.3,0.1,0.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,26,499949.0,6406143.0,116.999457,-32.4819387,B1,NA,16-46,16.0,46.0,31.0,24.5,87.5,7.4,5.2,1.1,0.3,0.0,13.0,5.9,5.1,527.0,1.4,0.0,0.8,0.1,0.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,26,499949.0,6406143.0,116.999457,-32.4819387,B2,NA,46-75,46.0,75.0,60.5,31.8,NA,NA,NA,1.3,0.2,0.0,5.8,6.6,5.2,413.0,13.9,0.0,3.8,0.1,8.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,27,498987.0,6406804.0,116.989219,-32.4759753,A,A,0-11,0.0,11.0,5.5,0.1,59.8,18.5,11.8,1.4,2.8,0.2,14.5,6.9,5.1,595.0,8.4,0.0,5.8,0.7,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,27,498987.0,6406804.0,116.989219,-32.4759753,B1,NA,11-31,11.0,31.0,21.0,0.0,109.8,2.5,12.3,1.6,0.7,0.1,12.2,6.0,5.0,84.9,6.8,0.0,4.4,0.3,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,27,498987.0,6406804.0,116.989219,-32.4759753,B2,NA,31-58,31.0,58.0,44.5,0.1,NA,NA,NA,1.7,0.3,0.0,8.0,6.4,5.5,92.1,8.4,0.0,5.5,0.2,2.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,27,498987.0,6406804.0,116.989219,-32.4759753,B3,NA,58-100,58.0,100.0,79.0,0.1,83.3,1.0,15.8,1.4,0.4,0.0,11.7,6.7,5.8,170.9,10.1,0.0,6.0,0.3,3.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,28,496044.0,6404560.0,116.957889,-32.4962121,A,A,0-18,0.0,18.0,9.0,13.4,89.1,5.1,5.8,1.6,1.5,0.1,18.5,4.9,4.4,2280.0,1.5,0.2,1.3,0.0,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,28,496044.0,6404560.0,116.957889,-32.4962121,B,NA,18-47,18.0,47.0,32.5,6.6,91.7,2.5,5.9,1.9,0.2,0.0,24.0,5.2,5.0,2265.0,0.3,0.1,0.2,0.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,28,496044.0,6404560.0,116.957889,-32.4962121,C1,NA,47-85,47.0,85.0,66.0,72.7,90.1,5.2,4.7,1.9,0.1,0.0,3.5,4.9,4.5,2334.0,0.1,0.1,0.0,0.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,28,496044.0,6404560.0,116.957889,-32.4962121,C2,NA,85-100,85.0,100.0,92.5,10.0,64.0,8.5,27.5,2.2,0.1,0.0,9.0,5.1,4.6,2137.0,1.7,0.1,0.1,0.0,1.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,29,497240.0,6404609.0,116.970621,-32.4957737,A,A,0-15,0.0,15.0,7.5,53.2,86.6,7.1,6.3,1.6,2.5,0.1,17.5,5.3,5.0,2283.0,3.7,0.1,2.6,0.1,0.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,29,497240.0,6404609.0,116.970621,-32.4957737,B,NA,15-100,15.0,100.0,57.5,80.9,87.1,8.9,4.0,1.4,0.3,0.0,15.5,6.2,5.0,2262.0,2.1,0.0,1.3,0.1,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,30,496745.0,6404980.0,116.965353,-32.4924255,A,A,0-12,0.0,12.0,6.0,4.9,89.9,4.3,5.8,1.5,2.5,0.2,15.3,5.5,4.8,183.0,4.5,0.0,2.7,0.2,3.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,30,496745.0,6404980.0,116.965353,-32.4924255,B1,NA,12-50,12.0,50.0,31.0,5.9,87.6,8.8,3.6,1.6,0.1,0.0,5.5,6.2,4.5,24.0,0.3,0.0,0.2,0.1,0.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,30,496745.0,6404980.0,116.965353,-32.4924255,B2,NA,50-65,50.0,65.0,57.5,7.5,73.2,21.2,5.6,1.6,0.1,0.0,6.0,6.5,4.7,48.9,0.8,0.0,0.2,0.0,1.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,30,496745.0,6404980.0,116.965353,-32.4924255,B3,NA,65-100,65.0,100.0,82.5,12.2,61.2,22.1,16.7,NA,0.0,0.0,3.0,6.8,5.0,894.0,3.2,0.0,0.3,0.1,3.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,31,497397.0,6405407.0,116.972294,-32.4885752,A,A,0-15,0.0,15.0,7.5,10.8,76.5,6.9,16.6,1.5,2.2,0.2,13.5,5.2,4.9,260.6,4.0,0.0,3.0,0.4,0.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,31,497397.0,6405407.0,116.972294,-32.4885752,B1,NA,15-52,15.0,52.0,33.5,10.4,75.9,7.3,16.8,1.6,0.9,0.0,45.0,4.7,4.4,168.2,1.4,0.1,1.1,0.0,0.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,31,497397.0,6405407.0,116.972294,-32.4885752,B2,NA,52-95,52.0,95.0,73.5,1.4,35.8,14.6,49.6,1.7,0.6,0.0,27.5,4.6,4.2,401.0,4.9,0.5,1.0,0.0,2.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,32,497226.0,6405223.0,116.970473,-32.4902347,AP,A,0-32,0.0,32.0,16.0,9.1,67.9,10.4,21.7,1.1,6.6,0.6,11.4,6.0,5.5,1280.0,3.0,0.0,1.6,0.4,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,32,497227.0,6405224.0,116.970484,-32.4902257,E,NA,32-50,32.0,50.0,41.0,27.9,88.5,2.4,9.1,1.7,0.4,0.0,18.5,6.9,5.7,112.0,4.6,0.0,2.6,0.4,0.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,32,497228.0,6405225.0,116.970495,-32.4902166,B,NA,52-120,52.0,120.0,86.0,42.3,33.0,5.1,61.3,1.7,0.1,0.1,2.8,6.9,6.0,300.0,6.0,0.0,3.6,0.1,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,33,497216.0,6404807.0,116.970366,-32.4939874,A,A,0-57,0.0,57.0,28.5,15.9,60.0,16.3,23.7,1.5,3.5,0.3,11.1,5.4,4.9,606.0,8.8,0.2,2.8,0.4,6.5,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,33,497217.0,6404808.0,116.970376,-32.4939784,B,NA,57-80,57.0,80.0,68.5,27.6,70.5,7.9,21.6,2.0,0.2,0.0,8.0,5.6,5.1,66.0,3.3,0.5,0.2,0.3,1.8,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,34,497344.0,6404633.0,116.971728,-32.4955574,A,A,2-15,2.0,15.0,8.5,30.9,88.3,7.5,4.3,1.2,0.8,0.1,16.6,5.7,4.4,30.8,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,34,497345.0,6404634.0,116.971738,-32.4955484,B1,NA,15-25,15.0,25.0,20.0,17.8,86.8,5.6,7.7,1.4,0.2,0.0,7.3,6.1,4.9,21.6,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,34,497346.0,6404635.0,116.971749,-32.4955394,B2,NA,25-45,25.0,45.0,35.0,2.4,68.2,8.6,23.3,NA,0.2,0.0,7.7,6.4,5.1,20.9,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,34,497347.0,6404636.0,116.97176,-32.4955304,C,NA,45-100,45.0,100.0,72.5,3.3,79.6,8.4,12.0,NA,0.2,0.1,3.0,6.9,5.5,18.5,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,35,497366.0,6404510.0,116.971962,-32.4966671,A,A,0-15,0.0,15.0,7.5,18.9,88.8,5.6,5.7,1.4,2.9,0.2,17.9,5.9,5.0,62.9,3.2,0.0,3.1,0.1,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,35,497367.0,6404511.0,116.971972,-32.496658,B1,NA,15-35,15.0,35.0,25.0,32.1,90.9,5.4,3.7,1.5,0.3,0.0,8.3,6.3,5.1,13.6,1.5,0.0,1.6,0.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,35,497368.0,6404512.0,116.971983,-32.496649,B2,NA,35-75,35.0,75.0,55.0,18.1,88.9,8.0,3.1,1.5,0.1,0.0,4.0,6.1,5.0,10.4,0.7,0.0,0.7,0.0,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,35,497369.0,6404513.0,116.971994,-32.49664,C,NA,75-95,75.0,95.0,85.0,37.3,90.8,8.2,1.1,NA,0.1,0.0,7.0,6.4,5.2,15.3,1.2,0.0,0.6,0.0,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,36,497376.0,6404935.0,116.972069,-32.4928331,A,A,0-18,0.0,18.0,9.0,16.9,88.4,6.4,5.3,1.3,2.0,0.1,19.6,5.6,4.7,24.5,0.4,0.1,0.4,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,36,497377.0,6404936.0,116.97208,-32.4928241,B,NA,18-45,18.0,45.0,31.5,28.8,87.9,5.5,6.6,NA,0.3,0.0,6.8,6.0,4.6,12.3,0.9,0.2,0.3,0.2,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,37,498834.0,6405514.0,116.987589,-32.4876124,A,A,0-13,0.0,13.0,6.5,32.1,NA,NA,11.5,1.3,3.5,0.3,12.9,6.5,5.5,1367.0,1.5,0.2,1.3,0.0,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,37,498834.0,6405514.0,116.987589,-32.4876124,B1,NA,13-38,13.0,38.0,25.5,43.9,76.1,6.5,17.4,1.4,0.7,0.1,13.7,6.7,5.2,1267.0,0.3,0.1,0.2,0.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,37,498834.0,6405514.0,116.987589,-32.4876124,B2,NA,38-50,38.0,50.0,44.0,42.4,91.6,4.1,4.3,1.5,0.2,0.0,9.2,6.0,5.2,569.0,0.1,0.1,0.0,0.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,37,498834.0,6405514.0,116.987589,-32.4876124,C,NA,50-70,50.0,70.0,60.0,54.1,89.9,6.8,3.3,1.6,0.2,0.0,6.9,6.3,5.1,700.0,1.7,0.1,0.1,0.0,1.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,38,498720.0,6405407.0,116.986376,-32.4885775,A,A,0-20,0.0,20.0,10.0,6.5,96.7,1.3,2.0,1.1,1.7,0.1,14.1,6.3,5.0,297.0,3.7,0.0,3.4,0.1,0.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,38,498720.0,6405407.0,116.986376,-32.4885775,E,NA,20-33,20.0,33.0,26.5,6.6,NA,NA,2.5,1.6,0.3,0.0,13.3,6.5,4.9,436.0,2.1,0.0,1.7,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,38,498720.0,6405407.0,116.986376,-32.4885775,B1,NA,33-62,33.0,62.0,47.5,8.0,NA,9.8,NA,1.7,0.1,0.0,7.0,5.8,4.9,751.0,4.5,0.0,2.7,0.2,3.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,38,498720.0,6405407.0,116.986376,-32.4885775,B2,NA,62-100,62.0,100.0,81.0,16.5,93.6,4.1,2.3,1.7,0.0,0.0,4.0,6.0,5.2,569.0,0.3,0.0,0.2,0.1,0.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,39,498095.0,6405134.0,116.979723,-32.4910394,A,A,0-12,0.0,12.0,6.0,17.0,67.1,25.1,7.8,1.3,3.1,0.3,10.7,6.1,5.1,99.5,11.0,0.0,6.3,2.0,1.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,39,498095.0,6405134.0,116.979723,-32.4910394,B1,NA,12-52,12.0,52.0,32.0,29.9,49.4,10.5,40.1,1.5,1.1,0.1,10.2,7.0,6.0,54.0,12.8,0.0,7.7,1.0,2.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,40,498149.0,6404827.0,116.980297,-32.493809,A,A,0-15,0.0,15.0,7.5,14.0,82.9,6.1,11.0,1.4,2.7,0.3,10.6,5.9,5.2,191.1,7.2,0.0,5.0,1.0,0.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,40,498149.0,6404827.0,116.980297,-32.493809,B1,NA,15-40,15.0,40.0,27.5,22.4,87.7,9.5,2.8,1.5,0.5,0.0,12.8,6.7,5.3,27.1,3.0,0.0,1.6,0.4,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,40,498149.0,6404827.0,116.980297,-32.493809,B2,NA,40-60,40.0,60.0,50.0,8.5,55.8,10.9,33.3,1.7,0.4,0.0,9.8,6.9,5.9,35.8,4.6,0.0,2.6,0.4,0.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,41,498226.0,6405423.0,116.981118,-32.4884325,A,A,0-50,0.0,50.0,25.0,25.4,78.3,10.3,11.4,0.6,0.5,0.0,23.0,5.8,4.9,39.3,11.0,0.0,6.3,2.0,1.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,42,498278.0,6405414.0,116.981671,-32.4885138,A,A,0-16,0.0,16.0,8.0,19.7,61.4,27.1,11.6,0.5,2.1,0.6,3.4,4.5,4.3,2087.0,3.3,0.5,0.2,0.3,1.8,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,42,498278.0,6405414.0,116.981671,-32.4885138,B1,NA,16-30,16.0,30.0,23.0,9.2,50.4,21.7,27.9,1.3,1.8,0.1,29.8,4.3,4.0,1221.0,2.6,0.8,0.0,0.2,1.8,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,42,498278.0,6405414.0,116.981671,-32.4885138,B2,NA,30-80,30.0,80.0,55.0,10.6,54.7,16.5,28.8,1.3,0.5,0.0,24.0,4.0,3.7,991.0,2.3,0.5,0.0,0.2,1.5,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,42,498349.0,6405394.0,116.982427,-32.4886943,C,NA,80-,80.0,120.0,100.0,5.1,64.5,9.2,26.3,1.3,0.5,0.0,23.0,4.0,3.7,1052.0,1.3,0.3,0.5,0.1,1.5,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,43,498349.0,6405394.0,116.982427,-32.4886943,A,A,0-20,0.0,20.0,10.0,17.3,77.1,11.9,11.0,1.0,2.8,0.2,14.0,4.3,4.2,805.0,2.4,0.1,0.0,0.1,4.9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,43,498349.0,6405394.0,116.982427,-32.4886943,B1,NA,20-40,20.0,40.0,30.0,23.4,72.9,17.1,10.0,1.4,2.2,0.1,24.2,4.9,4.7,1696.0,3.3,0.0,0.0,0.1,4.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,43,498349.0,6405394.0,116.982427,-32.4886943,B2,NA,40-60,40.0,60.0,50.0,12.5,58.9,18.2,22.9,1.6,0.4,0.0,20.0,5.3,5.0,1334.0,13.9,0.0,4.6,0.3,9.8,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,44,499277.0,6404883.0,116.992304,-32.4933051,A,A,0-6,0.0,6.0,3.0,45.6,69.5,17.9,12.6,NA,3.1,0.1,28.2,5.9,4.9,85.9,13.8,0.0,4.5,0.4,9.8,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,44,499277.0,6404883.0,116.992304,-32.4933051,B,NA,6-13,6.0,13.0,9.5,6.1,60.0,25.5,14.5,1.4,2.9,0.1,28.5,6.2,5.0,265.0,7.8,0.0,2.1,0.2,3.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,44,499277.0,6404883.0,116.992304,-32.4933051,A1,A,13-30,13.0,30.0,21.5,8.1,83.1,9.6,7.3,1.3,0.6,0.1,10.2,6.4,5.2,185.1,4.2,0.0,1.0,0.1,1.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,44,499277.0,6404883.0,116.992304,-32.4933051,B1,NA,30-50,30.0,50.0,40.0,9.9,88.4,5.8,5.8,1.7,0.3,0.0,14.0,6.1,5.1,147.4,2.3,0.0,0.4,0.1,1.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,44,499277.0,6404883.0,116.992304,-32.4933051,B2,NA,50-,50.0,100.0,75.0,3.3,38.9,9.3,51.8,2.0,0.1,0.0,7.0,5.9,5.0,506.0,11.8,0.0,1.3,0.1,6.6,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,45,498997.0,6404745.0,116.989324,-32.4945498,A,A,0-15,0.0,15.0,7.5,10.3,88.5,6.1,5.4,1.3,1.5,0.1,13.2,5.6,4.7,87.3,3.7,0.1,2.6,0.1,0.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,45,498997.0,6404745.0,116.989324,-32.4945498,B1,NA,15-30,15.0,30.0,22.5,12.7,90.3,5.4,4.3,1.7,0.4,0.0,13.3,6.9,4.9,23.1,2.1,0.0,1.3,0.1,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,45,498997.0,6404745.0,116.989324,-32.4945498,B2,NA,30-54,30.0,54.0,42.0,16.5,89.5,6.4,4.1,1.6,0.2,0.0,8.0,6.6,5.0,42.8,2.1,0.0,1.1,0.0,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,45,498997.0,6404745.0,116.989324,-32.4945498,B3,NA,54-70,54.0,70.0,62.0,23.6,53.6,5.7,40.7,NA,0.2,0.0,7.5,5.7,4.6,129.7,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,46,498808.0,6404333.0,116.987311,-32.498266,A,A,2-30,2.0,30.0,16.0,14.9,88.3,6.1,5.6,1.5,1.5,0.1,11.8,5.7,5.6,187.1,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,46,498808.0,6404333.0,116.987311,-32.498266,B,NA,30-50,30.0,50.0,40.0,15.7,86.3,7.7,6.0,1.4,0.9,0.1,18.6,6.2,5.5,50.4,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,46,498808.0,6404333.0,116.987311,-32.498266,C,NA,50-60,50.0,60.0,55.0,7.2,85.5,5.3,9.3,1.9,0.3,0.0,12.5,6.2,4.8,52.9,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,47,499548.0,6404154.0,116.995188,-32.4998816,A,A,0-5,0.0,5.0,2.5,9.3,75.8,9.9,14.2,NA (horizon too shallow),2.6,0.2,11.4,6.0,5.3,188.4,1.5,0.2,1.3,0.0,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,47,499548.0,6404154.0,116.995188,-32.4998816,A/B,NA,6-11,6.0,11.0,8.5,14.1,77.8,9.4,12.8,1.4,1.2,0.1,10.6,5.4,4.9,278.0,0.3,0.1,0.2,0.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,47,499548.0,6404154.0,116.995188,-32.4998816,B1,NA,12-46,12.0,46.0,29.0,14.2,79.4,5.4,15.2,1.6,0.6,0.1,9.3,5.4,5.2,165.2,0.1,0.1,0.0,0.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,47,499548.0,6404154.0,116.995188,-32.4998816,B2,NA,47-65,47.0,65.0,56.0,20.8,67.6,5.5,26.9,1.7,0.1,0.0,7.0,6.9,5.6,72.9,1.7,0.1,0.1,0.0,1.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,48,499521.0,6404045.0,116.994901,-32.5008649,A,A,0-5,0.0,5.0,2.5,5.3,87.8,7.1,5.1,NA (horizon too shallow),2.2,0.2,10.5,6.7,5.7,375.0,3.7,0.0,3.4,0.1,0.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,48,499521.0,6404045.0,116.994901,-32.5008649,A/B,NA,6-11,6.0,11.0,8.5,14.6,90.5,6.1,3.5,1.5,0.5,0.0,16.0,6.1,5.0,50.9,2.1,0.0,1.7,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,48,499521.0,6404045.0,116.994901,-32.5008649,E,NA,18-31,18.0,31.0,24.5,46.8,83.8,9.0,7.2,1.6,0.3,0.0,8.3,6.1,5.1,37.3,4.5,0.0,2.7,0.2,3.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,48,499521.0,6404045.0,116.994901,-32.5008649,B1,NA,32-50,32.0,50.0,41.0,34.2,86.9,7.5,5.6,1.7,0.2,0.0,8.5,5.7,4.5,29.8,0.3,0.0,0.2,0.1,0.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,48,499521.0,6404045.0,116.994901,-32.5008649,B2,NA,51-80,51.0,80.0,65.5,34.4,75.4,9.3,15.3,1.8,0.2,0.0,8.0,5.7,4.8,45.8,0.8,0.0,0.2,0.0,1.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,49,497927.0,6406410.0,116.977938,-32.4795281,A,A,0-15,0.0,15.0,7.5,11.2,93.2,4.8,2.1,1.3,1.9,0.2,9.2,5.7,4.6,92.0,3.2,0.0,0.3,0.1,3.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,49,497927.0,6406410.0,116.977938,-32.4795281,A/B,NA,15-35,15.0,35.0,25.0,14.6,92.2,4.3,3.5,1.5,0.5,0.1,10.2,5.7,4.7,59.5,4.0,0.0,3.0,0.4,0.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,49,497927.0,6406410.0,116.977938,-32.4795281,B,NA,35-72,35.0,72.0,53.5,15.5,89.0,5.0,6.0,1.7,0.2,0.0,21.0,6.1,5.0,46.0,1.4,0.1,1.1,0.0,0.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,49,497927.0,6406410.0,116.977938,-32.4795281,C,NA,72-100,72.0,100.0,86.0,34.7,86.5,5.5,8.0,1.6,0.2,0.0,16.0,6.1,5.3,40.5,4.9,0.5,1.0,0.0,2.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
