OorE,Profile,Easting,Northing,Latitude,Longitude,Horizon,Horiz_simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC.-S.cm,CEC,ex-Al,ex-Ca,ex-K,ex-Mg,ex-Na,munesll.wet,munsell.dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,6,499879.0,6406404.0,116.998712,-32.4795842,B,NA,15-,15.0,30.0,22.5,34.5,75.0,17.5,7.5,1.7,0.8,0.0,23.1,6.5,5.0,27.1,3.2,0.0,1.3,0.0,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,7,499705.1,6406558.1,116.996861,-32.478194,O,NA,0-5,0.0,5.0,2.5,2.4,87.5,10.0,2.5,1.4,6.4,0.1,46.0,5.9,4.2,20.7,2.4,0.1,1.0,0.2,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,7,499705.1,6406558.1,116.996861,-32.478194,A,A,5-12,5.0,12.0,8.5,4.0,92.5,7.5,0.1,1.5,3.4,0.1,42.9,5.9,4.4,24.4,2.1,0.1,0.8,0.2,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,7,499705.1,6406558.1,116.996861,-32.478194,B,NA,12-,12.0,24.0,18.0,18.4,97.5,0.1,2.5,NA,1.1,0.0,39.6,6.0,4.4,32.2,1.4,0.1,0.2,0.1,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,8,499313.6,6406613.5,116.992695,-32.4776941,A,A,0-15,0.0,15.0,7.5,24.6,90.0,5.0,5.0,1.3,4.0,0.1,31.2,5.5,4.2,17.7,1.5,0.2,0.3,0.1,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,8,499313.6,6406613.5,116.992695,-32.4776941,B1,NA,15-40,15.0,40.0,27.5,45.9,85.0,10.0,5.0,NA,0.8,0.0,22.9,5.9,4.2,11.0,1.0,0.2,0.1,0.0,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,8,499313.6,6406613.5,116.992695,-32.4776941,B2,NA,40-,40.0,80.0,60.0,1.1,92.5,2.5,5.0,NA,0.2,0.0,26.3,5.4,4.2,9.3,0.9,0.1,0.0,0.0,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,9,499579.8,6406484.1,116.995528,-32.4788615,A,A,0-20,0.0,20.0,10.0,37.5,72.5,10.0,17.5,1.0,18.1,0.5,36.9,5.9,4.4,31.1,6.5,0.2,2.4,0.5,2.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,9,499579.8,6406484.1,116.995528,-32.4788615,B,NA,20-,20.0,40.0,30.0,56.4,70.0,5.0,25.0,NA,4.8,0.2,31.5,5.8,4.7,154.6,5.5,0.1,0.6,0.2,3.2,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,10,500015.0,6405982.0,117.00016,-32.4833911,AP,A,0-10,0.0,10.0,5.0,17.0,83.1,7.3,9.6,1.4,2.4,0.1,20.4,5.1,4.7,157.7,4.8,0.0,3.9,0.2,0.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,10,500015.0,6405982.0,117.00016,-32.4833911,B,NA,10-20,10.0,20.0,15.0,42.0,80.1,9.5,10.5,1.7,0.6,0.0,14.6,5.8,4.9,63.7,3.6,0.0,2.4,0.1,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,10,500015.0,6405982.0,117.00016,-32.4833911,B2,NA,20-60,20.0,60.0,40.0,18.0,77.8,14.2,8.0,NA,0.5,0.0,12.5,6.1,5.0,59.1,4.4,0.0,2.8,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,11,499989.0,6406157.0,116.999883,-32.4818124,AP,A,0-15,0.0,15.0,7.5,13.0,86.6,5.1,8.3,1.6,1.4,0.1,15.5,5.3,4.1,30.9,4.2,0.0,2.4,0.2,0.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,11,499989.0,6406157.0,116.999883,-32.4818124,E,NA,15-30,15.0,30.0,22.5,16.0,87.1,8.5,4.3,1.7,0.1,0.0,13.7,5.4,4.5,92.3,1.3,0.0,0.4,0.0,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,11,499989.0,6406157.0,116.999883,-32.4818124,B1,NA,30-60,30.0,60.0,45.0,26.0,92.6,4.0,3.4,1.7,0.1,0.0,12.0,4.9,4.7,227.2,1.0,0.0,0.4,0.0,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
