"Easting","Northing","Longitude","Latitude"
495134.102129591,6403857.20399474,116.948200150755,-32.5025484653872
495243.867018586,6403898.48572046,116.949368859654,-32.5021765347454
495268.922565139,6403846.92800699,116.949635327704,-32.5026417486678
495298.442716471,6403818.23192805,116.949949440901,-32.5029007440169
495338.412990133,6403832.98298091,116.950375018509,-32.502767841951
495400.529448919,6403801.2649833,116.951036124769,-32.5030542319647
495435.201551938,6403795.51298526,116.951405200214,-32.5031062643532
495498.015462788,6403824.55367601,116.952074027728,-32.5028445420925
495524.313148828,6403807.05879633,116.952353897,-32.503002471324
495547.969736934,6403815.79398699,116.952605775411,-32.5029237654766
495607.041094123,6403882.87112539,116.953234934349,-32.5023188917112
495696.939184954,6403924.05547442,116.954192128904,-32.5019477159007
495770.585224442,6403948.3378035,116.954976230544,-32.5017289457029
495844.184146453,6403942.49018853,116.955759693738,-32.5017819754882
495856.327356675,6403968.70659241,116.955889078439,-32.5015455202284
495897.380684503,6403945.3475694,116.956326004277,-32.501756396615
496041.231444611,6403910.37572292,116.957857204679,-32.5020724031125
496096.872474951,6403933.94844409,116.958449625046,-32.5018599483683
496110.578779343,6403861.07810502,116.958595232961,-32.5025173666078
496166.157394782,6403852.45984631,116.959186858914,-32.5025953060195
496198.130752773,6403832.09602564,116.959527148686,-32.5027791198783
496197.892866404,6403788.09796612,116.959524438467,-32.5031760296282
496233.00984976,6403755.86439556,116.959898149304,-32.5034669313342
496265.291062388,6403755.93725318,116.960241802231,-32.5034663831334
496303.567002706,6403755.9946033,116.960649272521,-32.5034659938628
496338.963759311,6403741.31679218,116.961026034856,-32.5035985210259
496391.495174851,6403750.4076696,116.961585298592,-32.5035166833592
496444.598210251,6403762.30268698,116.962150657145,-32.5034095486307
496458.937818407,6403803.85257433,116.962303467055,-32.503034769082
496539.727098319,6403824.03006508,116.963163586933,-32.5028530007821
496596.184091795,6403841.51780564,116.963764664288,-32.5026954167557
496613.563138943,6403809.48457749,116.963949557678,-32.5029844446325
496652.044233008,6403833.11912578,116.964359293657,-32.5027713518713
496693.346627068,6403803.89254607,116.964798876041,-32.5030351313407
496713.510355643,6403868.59452384,116.965013755866,-32.5024515086235
496810.759790103,6403901.23185846,116.966049132779,-32.5021573677472
496909.960358644,6403860.40290228,116.9671050323,-32.5025259701082
496970.864970212,6403769.07383684,116.967753097252,-32.5033500259624
497084.670636611,6403751.18399023,116.968964569119,-32.5035117165839
497181.772686421,6403754.40902691,116.969998288257,-32.503482873948
497208.482171629,6403804.80645257,116.970282776161,-32.5030283015522
497324.392324209,6403858.26711378,116.971516854598,-32.5025463132767
497389.189218532,6403769.64178883,116.97220640307,-32.5033459648935
497475.69775183,6403766.6950722,116.973127328649,-32.5033727475501
497546.980461628,6403757.96905685,116.973886151897,-32.5034516255241
497648.659650541,6403728.18403405,116.97496851265,-32.5037205389746
497758.99443981,6403766.89661825,116.976143187548,-32.5033715373305
497869.440647539,6403775.76801262,116.977318971914,-32.5032917250827
497959.000728332,6403749.13264026,116.978272332576,-32.5035321735124
498033.705152823,6403701.66212064,116.979067506946,-32.5039605443001
498129.65544183,6403585.77314522,116.980088730005,-32.5050061551971
498180.766114219,6403517.27408361,116.980632710308,-32.5056241763846
498163.274790242,6403478.37296984,116.980446424368,-32.5059750780396
498190.489614123,6403376.80279719,116.980735955018,-32.5068913963269
498232.713778036,6403287.07920643,116.981185304819,-32.5077008687621
498256.696714151,6403308.01277888,116.981440668194,-32.5075120630922
498386.616297975,6403223.81319231,116.982823656929,-32.5082718313331
498443.796716489,6403259.68996301,116.983432468218,-32.5079482654958
498473.972433702,6403265.62276438,116.983753732232,-32.5078947870688
